Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
03/10/21,14:00,Monaco,Bordeaux,3,0,H,1,0,H,12,4,4,1,12,13,10,2,2,1,0
03/10/21,14:00,Nantes,Troyes,2,0,H,0,0,D,8,15,4,4,14,10,3,7,2,2,0
03/10/21,16:00,Lille,Marseille,2,0,H,1,0,H,12,10,5,3,10,13,3,5,2,3,0
03/10/21,19:45,St Etienne,Lyon,1,1,D,0,1,A,18,15,6,5,14,10,6,4,2,3,0
15/10/21,20:00,Paris SG,Angers,2,1,H,0,1,A,13,7,2,2,8,10,6,5,1,2,0
16/10/21,16:00,Clermont,Lille,1,0,H,1,0,H,9,9,3,2,9,8,6,9,1,2,0
16/10/21,20:00,Lyon,Monaco,2,0,H,0,0,D,14,9,8,3,8,10,2,4,1,2,0
17/10/21,12:00,Troyes,Nice,1,0,H,1,0,H,8,11,3,3,10,20,3,3,2,1,0
17/10/21,14:00,Bordeaux,Nantes,1,1,D,0,0,D,8,13,1,7,10,16,2,5,2,3,0
17/10/21,14:00,Brest,Reims,1,1,D,0,1,A,9,13,4,2,18,13,7,7,3,4,0
17/10/21,14:00,Metz,Rennes,0,3,A,0,3,A,9,21,2,8,14,9,4,10,3,1,0
17/10/21,14:00,Strasbourg,St Etienne,5,1,H,2,1,H,12,4,6,2,18,10,7,4,3,2,0
17/10/21,16:00,Montpellier,Lens,1,0,H,0,0,D,15,19,6,5,8,16,3,2,4,4,1
17/10/21,19:45,Marseille,Lorient,4,1,H,1,1,D,16,15,6,7,7,10,6,4,0,1,0
